ticket_title,ticket_price,ticket_description,ticket_venue,ticket_booking_link,ticket_booking_provider,ticket_booking_datetime,ticket_created_at,ticket_image_url,category_id,ticket_event_start_datetime,ticket_event_end_datetime
2025 김경호 전국투어콘서트 [My Favorite Rocker] 대구,"VIP석110,000원; R석99,000원",없음,경북대학교 대강당,http://www.ticketlink.co.kr/product/56645,티켓링크,예매링크 참조,2025-06-05 10:11:25.691955,https://image.toast.com/aaaaab/ticketlink/TKL_8/KKH_PST_0528.jpg,1,2025-07-26,2025-07-26
2025MyK FESTA in 여수 K-POP 콘서트,전석0원,없음,여수세계박람회 스카이타워 뒤,http://www.ticketlink.co.kr/product/56484,티켓링크,2025-05-30 16:00:00,2025-06-05 10:11:27.907871,https://image.toast.com/aaaaab/ticketlink/TKL_3/k-pop_main_0521.JPG,1,2025-06-13,2025-06-15
2025 이승철 콘서트 <오케스트락2> 인천공연,"FS석198,000원; VIP석176,000원; R석154,000원",없음,인스파이어 아레나,http://www.ticketlink.co.kr/product/56519,티켓링크,2025-05-26 14:00:00,2025-06-05 10:11:30.285204,https://image.toast.com/aaaaab/ticketlink/TKL_6/lsc_ic_pst_0522.jpg,1,2025-08-02,2025-08-02
에반게리온 윈드 심포니 2025 in Seoul,"VVIP석149,000원; VIP석145,000원; R석130,000원; S석113,000원; A석79,000원",없음,경희대학교 평화의전당,http://www.ticketlink.co.kr/product/56438,티켓링크,2025-05-20 20:00:00,2025-06-05 10:11:32.617668,https://image.toast.com/aaaaab/ticketlink/TKL_4/main0519(2).jpg,1,2025-06-20,2025-06-21
2025 FIVE O ONE : 20th Anniversary World Tour In Seoul,"VIP석198,000원; SS석165,000원; SSS석154,000원",없음,올림픽공원 올림픽홀,http://www.ticketlink.co.kr/product/56356,티켓링크,예매링크 참조,2025-06-05 10:11:35.006677,https://image.toast.com/aaaaab/ticketlink/TKL_6/FIVE-O-ONE_PST_0526(1).jpg,1,2025-07-12,2025-07-13
메가필드뮤직페스티벌 2025,없음,없음,"일산 킨텍스 제1전시장 4,5홀",http://www.ticketlink.co.kr/product/56302,티켓링크,예매링크 참조,2025-06-05 10:11:37.377182,https://image.toast.com/aaaaab/ticketlink/TKL_3/main_0514.jpg,1,2025-08-30,2025-08-31
2025 10CM 소극장 단독공연 <4.99999999>,"전석121,000원",없음,이화여자대학교 ECC 영산극장,http://www.ticketlink.co.kr/product/56185,티켓링크,예매링크 참조,2025-06-05 10:11:39.948279,https://image.toast.com/aaaaab/ticketlink/TKL_4/m0523(1).jpg,1,2025-06-18,2025-06-29
데니안 솔로 데뷔 18주년 팬미팅 < AHNswer >,"전석99,000원",없음,연세대학교 백주년기념관 콘서트홀,http://www.ticketlink.co.kr/product/56272,티켓링크,2025-05-14 20:00:00,2025-06-05 10:11:42.298471,https://image.toast.com/aaaaab/ticketlink/TKL_2/D0512.jpg,1,2025-06-07,2025-06-07
KB국민카드 스타샵 with 2025 인천펜타포트 락 페스티벌,"레귤러 티켓_3일권240,000원; 레귤러 티켓_2일권(금/토)180,000원; 레귤러 티켓_2일권(토/일)180,000원; 레귤러 티켓_1일권(금)120,000원; 레귤러 티켓_1일권(토)120,000원",없음,송도달빛축제공원,http://www.ticketlink.co.kr/product/56122,티켓링크,2025-05-19 14:00:00,2025-06-05 10:11:44.626162,https://image.toast.com/aaaaab/ticketlink/TKL_3/티켓링크_405x500.jpg,1,2025-08-01,2025-08-03
2025 김동하 Stand-up Tour < Life Goes On > - 창원,"R석77,000원; S석66,000원",없음,창원MBC홀,http://www.ticketlink.co.kr/product/55792,티켓링크,2025-04-10 10:00:00,2025-06-05 10:11:47.012796,https://image.toast.com/aaaaab/ticketlink/TKL_7/cw_main_0410.jpg,1,2025-06-15,2025-06-15
